,,verb,sentence,verb_idx,label
,,spot,This dress spots quickly .,2,0
,,preserve,preserve the peace in the family .,0,1
,,nod,The old man was nodding in his chair .,4,0
,,incline,She inclined her head to the student .,1,0
,,hunt,They hunted the unwanted immigrants out of the neighborhood .,1,1
,,glow,The fireflies were glowing and flying about in the garden .,3,0
,,drift,The stock market drifted upward .,3,1
,,emerge,"Suddenly , the proprietor emerged from his office .",4,0
,,buzz,Planes buzzed the crowds in the square .,1,0
,,flush,flush the wound with antibiotics .,0,1
,,rotate,We rotate the crops so as to maximize the use of the soil .,1,1
,,invade,"Hitler invaded Poland on September 1 , 1939 .",1,0
,,erase,The Turks erased the Armenians in 1915 .,2,1
,,hunt,Goering often hunted wild boars in Poland .,2,0
,,heap,He heaped him with work .,1,1
,,explode,We exploded the nuclear bomb .,1,0
,,root,this plant roots quickly .,2,0
,,stamp,a man whose name is permanently stamped on our maps .,6,1
,,curl,The cigar smoke curled up at the ceiling .,3,1
,,tax,You are taxing my patience .,2,1
,,shower,Meteors showered down over half of Australia .,1,0
,,relax,our new colleague relaxed when he saw that we were a friendly group .,3,0
,,acknowledge,The Crown Prince was acknowledged as the true heir to the throne .,4,0
,,plunge,The professor plunged his students into the study of the Italian text .,2,1
,,interrupt,She interrupted her pregnancy .,1,1
,,taste,The ex - slave tasted freedom shortly before she died .,4,1
,,match,The company matched the employees ' contributions .,2,1
,,map,map the surface of Venus .,0,0
,,push,""" Now push hard "" , said the doctor to the woman .",2,0
,,rotate,We rotate the lead soprano every night .,1,1
,,lay,lay the books on the table .,0,0
,,raid,The police raided the crack house .,2,0
,,kite,He kited many checks .,1,1
,,bounce,The ex - boxer 's job is to bounce people who want to enter this private club .,8,1
,,suck,suck the poison from the place where the snake bit .,0,0
,,nod,He nodded his approval .,1,0
,,crawl,The crocodile was crawling along the riverbed .,3,0
,,pose,This poses an interesting question .,1,1
,,attack,The cancer cells are attacking his liver .,4,1
,,scrape,The cat scraped at the armchair .,2,0
,,wrestle,He wrestled all his life with his feeling of inferiority .,1,1
,,color,My personal feelings color my judgment in this case .,3,1
,,recapture,They tried to recapture the escaped prisoner .,3,0
,,top,The towers were topped with conical roofs .,3,0
,,form,the water formed little beads .,2,0
,,plunge,the stock market plunged .,3,1
,,climb,Sales were climbing after prices were lowered .,2,1
,,tread,male birds tread the females .,2,0
,,whistle,She whistled a melody .,1,0
,,buzz,bees were buzzing around the hive .,2,0
,,line,trees line the riverbank .,1,1
,,lay,lay a responsibility on someone .,0,1
,,brush,Johnson brushed the hairs from his jacket .,1,0
,,drain,Life in the camp drained him .,4,1
,,nod,The teacher nodded when the student gave the right answer .,2,0
,,breathe,This rare Bordeaux must be allowed to breathe for at least 2 hours .,7,0
,,visit,The principal visited his rage on the students .,2,1
,,blaze,The summer sun alone can cause a pine to blaze .,9,0
,,accommodate,This hotel can accommodate 250 guests .,3,0
,,breathe,He breathed new life into the old house .,1,1
,,swim,this snake swims through the soil where it lives .,2,0
,,steam,her indifference to his amorous advances really steamed the young man .,7,1
,,kite,The pilot kited for a long time over the mountains .,2,0
,,salt,She salts her lectures with jokes .,1,1
,,glow,Her face glowed when she came out of the sauna .,2,1
,,wear,She was wearing yellow that day .,2,0
,,salute,a terrible stench saluted our nostrils .,3,1
,,nod,the flowers were nodding in the breeze .,3,1
,,boost,The tax cut will boost the economy .,4,1
,,dash,blue paint dashed with white .,2,0
,,swallow,The Nazis swallowed the Baltic countries .,2,1
,,prick,The nurse pricked my finger to get a small blood sample .,2,0
,,blaze,Meteors blazed across the atmosphere .,1,1
,,digest,Protein digests in a few hours .,1,0
,,tug,The prisoner tugged at the chains .,2,0
,,glow,The coals were glowing in the dark .,3,0
,,compare,This car does not compare with our line of Mercedes .,4,0
,,hurt,This exercise will hurt your back .,3,0
,,level,The ground levelled off .,2,0
,,cloud,The chemical clouded the liquid to which it was added .,2,1
,,reflect,This action reflects his true beliefs .,2,1
,,rip,The candidate ripped into his opponent mercilessly .,2,1
,,absorb,He absorbed the knowledge or beliefs of his tribe .,1,1
,,pose,We do n't know the woman who posed for Leonardo so often .,7,0
,,drift,stock prices are drifting higher .,3,1
,,push,She is pushing fifty .,2,1
,,tax,They taxed him failure to appear in court .,1,1
,,scan,the surgeon scanned the X - ray .,2,0
,,lock,He locked his hands around her neck .,1,1
,,stuff,She stuffed herself at the dinner .,1,1
,,relax,The government relaxed the curfew after most of the rebels were caught .,2,1
,,flap,The bird flapped its wings .,2,0
,,match,The two pieces match .,3,0
,,incline,Their language inclines us to believe them .,2,1
,,abuse,This boss abuses his workers .,2,0
,,interrupt,We interrupt the program for the following messages .,1,0
,,cloud,The stroke clouded memories of her youth .,2,1
,,guard,There will be men guarding the horses .,4,0
,,root,the pig was rooting for truffles .,3,0
,,pierce,The needle pierced her flesh .,2,0
,,rip,The curtain ripped from top to bottom .,2,0
,,fill,fill the child with pride .,0,1
,,map,sorrow was mapped on the mother 's face .,2,1
