text_idx,sentence_idx,verb,sentence,verb_idx,label
,,note,"it must be noted that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .",3,0
,,choose,he had trouble choosing an appropriate language for the painter 's obsession with the illuminated material world .,3,0
,,come,"now , however , it seems , the wheel has come full circle .",10,0
,,find,"they 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to find a dirty story .",26,0
,,arrive,they were expensive to buy and arrived a day late .,6,0
,,learn,task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could learn in a formal training course .,20,0
,,still,"you are still this disappointment and that 's all it is , you 're still a very well-off young woman get in the way of everything .",2,0
,,felt,but i can understand how you felt .,6,0
,,keep,"was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to keep time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?",30,0
,,assume,"had either of the teams won , they would have assumed the league leadership .",10,0
,,stop,"a mile above the shepherd 's hut the hillsides stopped their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road , hidden deep in the folds of the moors .",9,0
,,turn,"it turned out that our animal was able to see in almost every direction upwards , downwards , sideways and forwards , and even backwards , because the eyes bulged out beyond the line of the rest of the body .",1,0
,,saw,"like many young american composers he studied with nadia boulanger , but after 1925 set out to achieve the discipline of spontaneity which he saw in stein 's writings .",24,0
,,consider,"we want everyone to be licensed , but the government did n't consider it necessary .",12,0
,,with,in the centre of the room was a large wooden table with a stoneware jar of dried flowers .,11,0
,,curl,"oldham took up the attack again and barlow , who had a fine match at left-back , totally containing rocastle , curled in a deep cross beyond winterburn .",21,0
,,pay,"first , attention should be paid to the new directive from the department of health to regional and district health authorities to review the health of the population .",5,0
,,stay,"but the concern with overcoming political marginality stayed on the sidelines of the main public debate because it questioned the perception of the rioters as driven by irrational , uncivilized , and criminal instincts .",7,0
,,buy,why they keep on buying new bulbs ?,4,0
,,be,well well he has n't been a father so he regards you does n't he ?,5,0
,,motivate,"but the concern with overcoming political marginality remained on the sidelines of the main public debate because it questioned the perception of the rioters as motivated by irrational , uncivilized , and criminal instincts .",25,0
,,be,the only thing you can be sure of is that us interest will always be first .,14,0
,,provide,they provided opportunities for men of skill to acquire great position in the world arnoul of ardres caught the eye of countess ida of boulogne through his exploits ; and they also conferred lustre on the great geoffrey le bel and philip of alsace were throughout france for their distinguished performances in these show battles .,1,0
,,do,cos we 've done the agm in two weeks time,3,0
,,bor,"bor , oh well !",0,0
,,walk,"since 1986 rytasha has walked awayfrom her guru and set up on her own with a charity called food relief international , which raises money from the fiercely competitive matrons of palm beach and distributes it to the starving people of bangladesh .",4,0
,,confer,"a royal banner now conferred respectability on a cause ; kings ' wars were assumed to be for the sake of peace , even when cripplingly expensive and increasingly savage .",4,0
,,stand,"the house that when he first saw it had seemed to float on a raft of golden mist , now stands in a wilderness , amidst ragged grass and straggling bushes and trees dead from the heat .",20,0
,,create,this chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were created .,27,0
,,grant,"after being granted clearance to land , miranda , following her instructor 's directions , started her approach ; she throttled back to reduce speed and control her descent as she flew towards the threshold the point just before she intended to touch down .",2,0
,,happen,anything happens fast after friday .,1,0
,,break,"davis , of course , would have broken into england 's team in poland a week on wednesday ; until last season 's prolonged suspension , followed by injury , bobby robson had him firmly pencilled in as bryan robson 's replacement .",7,0
,,do,i think we did it to that pathetic creature in there .,3,0
,,think,you might have thought this was the police bluffing and bullying .,3,0
,,compound,"this mixture , compounded by recession and high unemployment , inevitably generates a high level of crime .",3,0
,,the,"he sat down and saw a bifurcated path , simmering with gold heat round and under the rising , the blue-black-green down-pointing vanes of a great pine , still widening where the frame interrupted its soaring .",19,0
,,see,"its significance lies in its double message : that the aim of the palestinian struggle is the establishment of palestinian independence , and that this independence is seen as being not at israel 's expense .",27,0
,,it,yeah have n't got to it .,5,0
,,mention,they never mentioned being germans .,2,0
,,migrate,this problem has migrated to the uk .,3,0
,,host,fisa was then a relatively unimportant body which hosted european and other championships and participated in the running of olympic regattas .,8,0
,,in,they offered opportunities for men of skill to acquire great position in the world arnoul of ardres in the eye of countess ida of boulogne through his exploits ; and they also conferred lustre on the great geoffrey le bel and philip of alsace were throughout france for their distinguished performances in these show battles .,17,0
,,turn,"well do n't turn it on too loud , will you ?",3,0
,,external,"some peaks of demand can be dealt with by external consultants , but they tend to be expensive and do not always fit well with ill-defined but important factors such as the favoured style of the organisation .",9,0
,,be,"in the first group session the counselling method is registered in the course tutor 's notes ( menary , 1986 ) by the explanation : this session was to get participants to consider the subject of alcohol in ways they had not thought of in the past ( p. 3 ) .",27,0
,,make,"as a consequence an underclass was making football hooligans , muggers , inner city rioters somewhat more frightening than their dickensian forebears because they were mobile and all too visible .",6,0
,,evil,and virtue is evil .,3,0
,,extend,in this way the chapters in this part present a number of perspectives which essentially complement and extend the discussion in the previous part .,17,0
,,put,"they put their head down , see that",1,0
,,the,"first the four saints in three acts , produced in 1934 , and then the mother of us all ( 1947 ) , which demonstrated a new kind of plotless opera only now reaching a wider currency through the stage works of philip glass .",1,0
,,kick,"finally , with arsenal kicking hard , he clawed away quinn 's careful header from thomas 's drag-back .",4,0
,,draw,"his friendship with raymond v of toulouse , a fellow warrior , reversed the trend of history since the middle of the tenth century , in drawing the princes of the far south back into the king 's mouvance .",26,0
,,say,"she said that the government would safeguard those that did not opt for trust status , but she expected this to be a minority .",1,0
,,reach,"presumably the justification is that d has already reached a high moral/social threshold in choosing to commit such a serious offence , and should therefore be held liable for whatever consequences ensue , however unforeseeable they may be .",8,0
,,feed,he feeds on me like a snake .,1,0
